37,Motorcycle,Bajaj,CT,100B,,102,5.7,8.2,1975,752,1065,169,"88,500",Telescopic,Hydraulic,2.75 X 17_,3.00 X 17_,Drum,Drum,,,,,
38,Motorcycle,Hero,Hunk,2016,,149.2,10.6,12.8,2080,765,795,145,"1,59,990",Telescopic Hydraulic,Swing arm with nitrox GRS,2.75 x 18 � 42 P (Tubeless),80 / 100 X 18 � 47 P (Tubeless),240mm Disc,220 mm,,,,,
39,Motorcycle,Hero,Xtreme,Sports,,149.2,11.3,13.5,2100,780,1080,145,"1,92,500",Telescopic Hydraulic,Rectangular Swing Arm,80 / 100 x 18 � 47 P,110 / 90 x 18 � 61 P,,,,,,,
40,Motorcycle,Hero,Achiever,150,,149.2,10,12.8,2040,760,1120,160,"1,35,100",Telescopic Hydraulic,Swing arm with nitrox GRS,2.75 x 18 � 42 P / 4 PR,3.00 x 18 � 52 P / 6 PR,240mm Disc,130mm Drum,,,,,
41,Motorcycle,Hero,Ignitor,125,,124.7,8.5,11,2023,766,1091,159,"1,24,990",Telescopic Hydraulic,5-step adjustable hydraulic,80 / 100 � 18 47P (Tubeless),90 / 90 � 18 51P (Tubeless),240mm Disc,130mm Drum,,,,,
42,Motorcycle,Hero,Glamour,125,,124.7,6.7,10.35,2005,735,1070,150,"1,17,990",Telescopic Hydraulic,Rectangular Swing Arm,2.75 x 18 � 42 P (Tubeless),3.00 x 18 � 52 P / 6 PR,240mm Disc,130mm,,,,,
43,Motorcycle,Hero,Splendor,iSmart 110,,109.15,7,9,2015,770,1055,165,"1,09,990",Telescopic Hydraulic,Swing arm with nitrox GRS,2.75 x 18 � 4 PR,2.75 x 18 � 4 PR,130mm Drum,110mm Drum,,,,,
44,Motorcycle,Hero,Splendor,iSmart,,97.2,5.74,8,1965,770,1095,160,"1,21,100",Telescopic Hydraulic,Swing arm with nitrox GRS,2.75 x 18 � 4 PR,2.75 x 18 � 4 PR,130mm Drum,110mm Drum,,,,,
45,Motorcycle,Hero,Splendor,Pro,,97.2,6.15,8,1970,720,1040,159,"1,19,000",Telescopic Hydraulic,Swing arm with nitrox GRS,2.75 x 18 � 42 P / 4 PR,2.75 x 18 � 48 P / 4 PR,130mm Drum,110mm Drum,,,,,
46,Motorcycle,Hero,Splendor,Plus,,97.2,6.15,8,1970,720,1040,159,"91,990",Telescopic Hydraulic,Swing arm with nitrox GRS,2.75 x 18 � 42 P / 4 PR,2.75 x 18 � 48 P / 4 PR,130mm Drum,110mm Drum,,,,,
47,Scooter,Hero,Pleasure,Sheet Metal,,102,5.03,7.85,1750,705,1115,125,"1,20,000",Spring-loaded Hydraulic,Swing arm Hydraulic,90 / 100 x 10 � 53 (Tubeless),90 / 100 x 10 � 53 (Tubeless),130 mm expanding shoe,130 mm expanding shoe,,,,,
48,Scooter,Hero,Pleasure,Cast Metal,,102,5.03,7.85,1750,705,1115,125,"1,34,990",Spring-loaded Hydraulic,Swing arm Hydraulic,90 / 100 x 10 � 53 (Tubeless),90 / 100 x 10 � 53 (Tubeless),130 mm expanding shoe,130 mm expanding shoe,,,,,
49,Motorcycle,Hero,Passion,Pro,,97.2,5.74,8.04,1980,725,1075,165,"1,30,000",Telescopic Hydraulic,Swing arm with nitrox GRS,2.75 x 18 � 4PR / 42 P,3.00 x 18 � 6 PR / 52 P,240mm Disc,240mm Disc,,,,,
50,Motorcycle,Hero,HF,Dawn,,97.2,6.15,8.05,1965,720,1045,165,"95,000",Telescopic Hydraulic,Swing arm with nitrox GRS,2.75 x 18 � 4 PR / 42 P,2.75 x 18 � 6 PR/ 48 P,130mm Drum,110mm Drum,,,,,
51,Motorcycle,Hero,HF,Deluxe Self,,97.2,6.15,8.05,1965,720,1045,165,"90,990",Telescopic Hydraulic,Swing arm with nitrox GRS,2.75 x 18 � 4 PR / 42 P,2.75 x 18 � 6 PR/ 48 P,130mm Drum,110mm Drum,,,,,
52,Motorcycle,Hero,HF,Deluxe Kick,,97.2,6.15,8.05,1965,720,1045,165,"84,990",Telescopic Hydraulic,Swing arm with nitrox GRS,2.75 x 18 � 4 PR / 42 P,2.75 x 18 � 6 PR/ 48 P,130mm Drum,110mm Drum,,,,,
53,,Yamaha,R15,V3,,,,,,,,,,,,,,,,,,,,
54,,Yamaha,R15,V3 Indian Edition,,,,,,,,,,,,,,,,,,,,
55,,Yamaha,Aerox,155 VVA,,,,,,,,,,,,,,,,,,,,
56,,Yamaha,Vixion,,,,,,,,,,,,,,,,,,,,,
57,,Yamaha,Xabre,150,,,,,,,,,,,,,,,,,,,,
58,,Yamaha,M Slaz,,,,,,,,,,,,,,,,,,,,,
59,,Yamaha,FZ150i,,,,,,,,,,,,,,,,,,,,,
60,,Yamaha,YZF R15,Version 2,,,,,,,,,,,,,,,,,,,,
61,,Yamaha,YZF R15,Movistar Edition,,,,,,,,,,,,,,,,,,,,
62,,Yamaha,R15,S,,,,,,,,,,,,,,,,,,,,
63,,Yamaha,Fazer,Fi Version 2,,,,,,,,,,,,,,,,,,,,
64,,Yamaha,Fazer,Fi 2017 Edition,,,,,,,,,,,,,,,,,,,,
65,,Yamaha,Fazer,,,,,,,,,,,,,,,,,,,,,
66,,Yamaha,FZs,Version 2,,,,,,,,,,,,,,,,,,,,
67,,Yamaha,FZs,FI Dual Disc,,,,,,,,,,,,,,,,,,,,
68,,Yamaha,FZs,FI 2017 Edition,,,,,,,,,,,,,,,,,,,,
69,,Yamaha,FZs,,,,,,,,,,,,,,,,,,,,,
70,,Yamaha,SZ-RR,Version 2.0,,,,,,,,,,,,,,,,,,,,
71,,Yamaha,SZ-RR,Version 2.0 2017 Edition,,,,,,,,,,,,,,,,,,,,
72,,Yamaha,SZR,,,,,,,,,,,,,,,,,,,,,
73,,Yamaha,FZ FI,Version 2.0,,,,,,,,,,,,,,,,,,,,
74,,Yamaha,Saluto,,,,,,,,,,,,,,,,,,,,,
75,,Yamaha,Ray Z,,,,,,,,,,,,,,,,,,,,,
76,,Yamaha,Fascino,,,,,,,,,,,,,,,,,,,,,
77,,TVS,Apache,RTR 160,,,,,,,,,,,,,,,,,,,,
78,,TVS,Apache,RTR 150 Matt Blue,,,,,,,,,,,,,,,,,,,,
79,,TVS,Apache,Hyper Edge (2012),,,,,,,,,,,,,,,,,,,,
80,,TVS,Phoenix,125,,,,,,,,,,,,,,,,,,,,
81,,TVS,Flame,SR 125,,,,,,,,,,,,,,,,,,,,
82,,TVS,Star Sport,125,,,,,,,,,,,,,,,,,,,,
83,,TVS,Metro Plus,110cc,,,,,,,,,,,,,,,,,,,,
84,,TVS,Metro,,,,,,,,,,,,,,,,,,,,,
85,Scooter,TVS,Ntorq,125,,,,,,,,,,,,,,,,,,,,
86,Scooter,TVS,Wego,,,,,,,,,,,,,,,,,,,,,
87,Scooter,TVS,Scooty,Pep Plus,,,,,,,,,,,,,,,,,,,,
88,,TVS,Jive,110,,,,,,,,,,,,,,,,,,,,
89,,TVS,XL,100,,,,,,,,,,,,,,,,,,,,
90,Scooter,TVS,Jupiter,,,,,,,,,,,,,,,,,,,,,
91,,TVS,Stryker,125,,,,,,,,,,,,,,,,,,,,
92,Scooter,TVS,Scooty,Zest 110,,,,,,,,,,,,,,,,,,,,
93,,Atlas Zongshen,Z One T,150cc,,,,,,,,,,,,,,,,,,,,
94,,Atlas Zongshen,Z One,150cc,,,,,,,,,,,,,,,,,,,,
95,,Atlas Zongshen,150-58,150cc,,,,,,,,,,,,,,,,,,,,
