59,SUV,Mercedes-Benz,GLA,250 4MATIC,,13,1991,211,4417,2022,1494,,,,,Petrol,Rancon Motors Ltd.,,,,,,,,
60,SUV,Mercedes-Benz,GLA,AMG GLA 45 4MATIC,,12,1991,381,4417,2022,1494,,,,,Petrol,Rancon Motors Ltd.,,,,,,,,
61,SUV,Mercedes-Benz,GLA,180 d,,23,1461,109,4417,2022,1494,,,65,,Diesel,Rancon Motors Ltd.,,,,,,,,
62,SUV,Mercedes-Benz,GLA,200 d,,22,2143,136,4417,2022,1494,,,,,Diesel,Rancon Motors Ltd.,,,,,,,,
63,SUV,Mercedes-Benz,GLA,200 d 4MATIC,,20,2143,136,4417,2022,1494,,,,,Diesel,Rancon Motors Ltd.,,,,,,,,
64,SUV,Mercedes-Benz,GLA,220 d 4MATIC,,18,2143,177,4417,2022,1494,,,,,Diesel,Rancon Motors Ltd.,,,,,,,,
65,SUV,Mercedes-Benz,GLC,GLC300,,,,,,,,,,,,,Rancon Motors Ltd.,,,,,,,,
66,SUV,Mercedes-Benz,GLE,250 D,,,,,,,,,,,,,Rancon Motors Ltd.,,,,,,,,
67,Hatchback,Honda,Jazz,1.5L,,22,1498,128,3955,1694,1524,135,5,24,,Petrol,DHS Motors Ltd.,,,,,,,,
68,Sedan,Honda,Accord,2.0L,,13,1997,152,4890,1850,1465,150,5,60,,,DHS Motors Ltd.,,,,,,,,
69,Sedan,Honda,Accord,2.4L,,12,2356,172,4890,1850,1465,150,5,,,,DHS Motors Ltd.,,,,,,,,
70,Sedan,Honda,City,1.5L,,16,1497,118,4455,1700,1492,150,5,,,,DHS Motors Ltd.,,,,,,,,
71,Hatchback,Honda,Civic,1.5L,,10,1498,170,4644,1799,1416,135,5,40.5,,,DHS Motors Ltd.,,,,,,,,
72,SUV,Honda,HR-V,1.5L,,18,1497,118,4294,1772,1605,170,5,36,,Petrol,DHS Motors Ltd.,,,,,,,,
73,SUV,Honda,CR-V,1.5L,,8,1498,190,4584,1855,1689,208,5,,,Petrol,DHS Motors Ltd.,,,,,,,,
74,Sedan,Toyota,Vios,NSP151R,,,1496,107,4425,1730,1495,133,5,,,Petrol,Navana Ltd.,,,,,,,,
75,Sedan,Toyota,Yaris,Gade G 1.3L,Thailand,,1299,84,4410,1700,1495,165,5,,,Petrol,Navana Ltd.,,,,,,,,
76,Sedan,Toyota,Yaris,Grade E 1.3L,Thailand,,1299,84,4410,1700,1495,165,5,28.5,,Petrol,Navana Ltd.,,,,,,,,
77,Sedan,Toyota,Yaris,1.5L,Thailand,,1496,107,4410,1700,1495,165,5,32.5,,Petrol,Navana Ltd.,,,,,,,,
78,Sedan,Toyota,Altis,16-Valve Dual VVT-i,,,1598,120,,,,,,37,,Petrol,Navana Ltd.,,,,,,,,
79,MPV,Toyota,Avanza,1.3L,,,1329,95,4190,1660,1695,180,7,,,Petrol,Navana Ltd.,,,,,,,,
80,MPV,Toyota,Avanza,1.5L,,,1496,103,4200,1660,1695,180,7,32.5,,Petrol,Navana Ltd.,,,,,,,,
81,Sedan,Toyota,Camry,2.5L,,,2494,202,4850,1825,1480,160,5,89,,Petrol,Navana Ltd.,,,,,,,,
82,SUV,Toyota,Rush,16V 1.5L,,,1496,103,4435,1695,1705,220,7,37.5,,Petrol,Navana Ltd.,,,,,,,,
83,SUV,Toyota,RAV4,2.0L 2WD,,,1987,145,4605,1845,1685,180,5,,2WD,Petrol,Navana Ltd.,,,,,,,,
84,SUV,Toyota,RAV4,2.0L 4WD,,,1987,145,4605,1845,1685,180,5,,4WD,Petrol,Navana Ltd.,,,,,,,,
85,SUV,Toyota,RAV4,2.5L,,,2494,179,4605,1845,1685,190,5,,4WD,Petrol,Navana Ltd.,,,,,,,,
86,SUV,Toyota,Fortuner,2TR-FE,Thailand,,2694,166,4795,1855,1835,279,7,190,4WD,Petrol,Navana Ltd.,,,,,,,,
87,SUV,Toyota,Land Cruiser,Prado 4.0L GXR,,,4000,271,5095,1980,1930,,8,,4WD,,Navana Ltd.,,,,,,,,
88,Microbus,Toyota,Hiace,12/15 Seater,,,2694,149,4695,1695,1980,185,12,40.5,,Petrol,Navana Ltd.,,,,,,,,
89,Microbus,Toyota,Hiace,16 Seater,,,2986,91,5380,1880,2285,185,16,38.5,,Diesel,Navana Ltd.,,,,,,,,
90,Pick Up,Toyota,Hilux,Double Cabin,Thailand,,2393,100,5330,1855,1815,286,3,57,4WD,Diesel,Navana Ltd.,,,,,,,,
91,SUV,Foday,Explorer,3,China,,2200,,,,,,7,22.2,,,Ma Enterprise,,,,,,,,
92,SUV,Foday,Landfort,D19TCID1,Bangladesh,,1850,134,4771,1870,1828,217,7,45,4WD,Diesel,Ma Enterprise,,,,,,,,
93,Pick Up,Foday,Lion,F22,Bangladesh,,1850,134,5219,1870,1844,,5,28.5,4WD,Diesel,Ma Enterprise,,,,,,,,
94,Pick Up,Foday,Lion,F16,China,,,,,,,,,22.5,,,Ma Enterprise,,,,,,,,
95,SUV,BAIC,X25,2018,China,15,1500,114,4110,1750,1583,,5,19,FWD,Petrol,Ma Enterprise,,,,,,,,
96,SUV,Landwind,X5,2.0L,China,11,1997,177,4568,1855,1710,190,5,32,FWD,Petrol,Rancon Motors Ltd.,,,,,,,,
97,Sedan,Mitsubishi,Attrage,3 Cyl DOHC,Thailand,21,1193,76,4245,1670,1515,,5,16.5,FWD,,Rangs Limited,,,,,,,,
98,Sedan,Mitsubishi,Lancer EX,1.6 MIVEC,Japan,,1590,115,4570,1760,1480,140,5,26.5,,Petrol,Rangs Limited,,,,,,,,
99,SUV,Mitsubishi,Eclipse,2WD Cross 3,,15,1499,160,4405,1805,1685,183,5,,2WD,Petrol,Rangs Limited,,,,,,,,
100,SUV,Mitsubishi,Eclipse,4WD Cross 3,,14,1499,160,4405,1805,1685,183,5,,4WD,Petrol,Rangs Limited,,,,,,,,
101,SUV,Mitsubishi,Eclipse,4WD Cross 4,,14,1499,160,4405,1805,1685,183,5,,4WD,Petrol,Rangs Limited,,,,,,,,
102,SUV,Mitsubishi,ASX,2WD,,,1998,134,4365,1810,1630,195,5,55.2,2WD,,Pragoti Industries Ltd.,,,,,,,,
103,SUV,Mitsubishi,ASX,4WD,,,1998,134,4365,1810,1630,195,5,,4WD,,Pragoti Industries Ltd.,,,,,,,,
104,SUV,Mitsubishi,Outlander,7 Seater,Thailand,,1998,143,4695,1810,1710,190,7,52,4WD,Petrol,Rangs Limited,,,,,,,,
105,SUV,Mitsubishi,Pajero,Sport,Bangladesh,,2477,134,4785,1815,1805,218,7,100,4WD,Diesel,Pragoti Industries Ltd.,,,,,,,,
106,SUV,Mitsubishi,Pajero,GLS,Japan,,2972,181,4900,1875,1900,235,7,118,4WD,,Rangs Limited,,,,,,,,
107,Pick Up,Mitsubishi,L200,4WD Double Cabin,Thailand,,2477,118,5200,1815,1780,210,5,48,4WD,Diesel,Rangs Limited,,,,,,,,
